LAD23NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
Lichfield,106449,5224,5648,5801,5376,5053,5970,6059,6030,6085,6933,8094,7922,6720,6157,6963,5828,3656,2930
Lincoln,103803,5112,5394,5268,8833,13592,7940,7668,6531,5831,5615,5972,6020,5026,4120,3994,2805,2031,2051
Liverpool,486030,26380,26726,25237,33822,49351,38073,37313,33128,27766,26564,29161,30657,27537,22408,19988,13262,10002,8655
Luton,225250,15956,16735,16749,15069,15580,16520,17855,17669,16512,14098,13829,12371,9961,7778,6379,4761,3832,3596
Maidstone,175781,10398,10866,10394,8913,8860,11208,12230,12003,11335,11674,12576,11878,9920,8535,9302,6666,4626,4397
Maldon,66221,3042,3418,3638,3377,3132,3351,3384,3370,3449,4182,5297,5220,4800,4190,4683,3422,2245,2021
Malvern Hills,79501,3112,3947,4383,4259,3287,3459,3729,3718,4106,4755,5982,6517,5991,5439,5985,4504,3184,3144
Manchester,551955,34382,36571,36343,42396,61886,52583,48022,42050,35776,31069,30364,26703,21647,16486,13810,9215,6685,5967
Mansfield,110496,5959,6587,6567,5353,5506,7188,7909,7663,6562,6764,7943,8157,7029,5905,5716,4326,2784,2578
Medway,279747,17311,18348,18020,16219,15943,18340,20346,19470,18452,17655,19135,18779,15668,12936,13004,8942,6025,5154
Melton,51751,2417,2827,2986,2556,2247,2636,2870,2792,2937,3226,4164,4309,3620,3252,3428,2450,1543,1491
Merthyr Tydfil,58836,3300,3660,3576,3120,3219,3692,4143,4022,3339,3502,4123,4254,3781,3146,3158,2169,1433,1199
Merton,215200,13540,13298,13165,10680,11162,17206,19144,18948,18114,15520,14489,12585,10247,7875,7123,4762,3748,3594
Mid Devon,82850,4025,4587,5042,4416,3593,4130,4484,4730,4614,5142,6188,6353,5646,5184,5416,4022,2653,2625
Mid Suffolk,102721,4502,5191,5587,5228,4638,5445,5739,5529,5480,6439,7632,8046,7283,6741,7296,5230,3460,3255
Mid Sussex,152552,8316,9385,9739,8013,6364,7661,9193,9907,10488,11036,11374,10695,8881,7883,8220,6417,4273,4707
Middlesbrough,143938,8928,9797,9460,8574,10177,10329,10328,9374,8052,7916,8746,9370,8723,7216,6462,4291,3233,2962
Milton Keynes,287097,17734,20264,20614,16355,14986,19033,22016,23017,22400,20187,19314,17093,14485,12223,11183,7252,4652,4289
Mole Valley,87378,4013,4674,5320,4658,3663,4025,4209,4780,5465,6144,6835,6909,5923,5128,5198,4161,3016,3257
Monmouthshire,92962,3962,4637,5157,4574,3869,4495,4729,4905,5039,5808,7260,7827,6662,6194,6404,4887,3292,3261
Neath Port Talbot,142295,7040,7973,8422,8859,7669,8339,8841,8752,8201,8435,9777,10328,9520,8357,8251,5876,3977,3678
New Forest,175770,7237,8640,9385,8259,7058,7736,8474,8650,9020,10199,12648,14022,12803,12160,13522,10389,7453,8115
Newark and Sherwood,122964,6059,6672,6920,6273,6094,7234,7504,7172,6930,7763,9193,9268,8206,7227,7694,5656,3737,3362
Newcastle upon Tyne,300106,15644,16703,16401,23369,36642,23390,21241,19589,16951,16050,16752,17355,15496,12679,11796,7856,5979,6213
Newcastle-under-Lyme,123307,5789,6509,6514,7643,8577,6855,7554,7182,6892,7539,8844,8757,7916,6847,7276,5326,3770,3517
Newham,351010,23853,23320,23288,22148,28285,36033,36692,32532,27384,22771,20473,16307,12757,9101,6304,4002,3186,2574
Newport,159604,9731,10336,10220,8684,8739,11066,12539,11149,9938,9715,10777,10677,8979,7278,7252,5355,3740,3429
North Devon,98557,4510,5220,5622,4977,4233,5042,5375,5085,5279,5911,7104,7635,7118,6289,6928,5297,3437,3495
